#POSITIVE_LEXICON	STRENGTH-ASSIGNED
overtaking	0.2
pacific	0.3
pacifist	0.2
pacifists	0.2
padding	0.1
paddle	0.1
padlockable	0.2
painless	0.1
painlessly	0.2
palace	0.2
pamperedly	0.3
pamperedness	0.5
pampers	0.6
panache	0.1
panier	0.2
panoramic	0.9
parade	0.3
paradise	0.5
paradisiacal	0.5
paramore	0.3
paramount	1
pardon	0.2
pardoned	0.2
pardoning	0.3
pardons	0.2
parentage	0.2
parietal	0.2
partay	1
participation	0.1
partner	0.1
partnership	0.1
party	0.3
partying	1
passed	0.4
passion	1
passionate	0.8
passionately	0.1
pastime	0.3
pastry	0.3
pasture	0.1
patience	0.2
patiently	0.3
patriotic	0.6
patronage	0.2
peace	0.4
peaceable	0.3
peaceableness	0.3
peaceful	0.7
peacefully	0.5
peacekeepers	0.5
peacekeeping	0.4
pedestal	0.3
pedi	0.8
pedigree	0.3
peerless	0.2
penchant	0.4
peng	0.3
penitent	0.3
people	0.2
pep	0.2
pepped	0.2
pepping	0.1
peppy	0.1
peps	0.2
perceptive	0.2
perfect	0.7
perfected	0.6
perfection	0.8
perfectionism	0.8
perfectionist	0.7
perfectly	0.8
perfects	0.6
performance-oriented	0.4
performer	0.1
perfume	0.4
perk	0.8
permission	0.1
perpetuity	0.3
persevere	0.6
persistence	0.3
persistent	0.3
personableness	0.6
personages	0.1
perspicuous	0.7
persuasively	0.5
petroleum	0.1
pharmaceutical	0.2
phenomenal	1
phew	0.5
phonetic	0.2
physician	0.1
physics	0.1
physique	0.2
piano-blessed	0.2
picnic	0.3
picturesque	0.7
picturesqueness	0.7
piety	0.4
pill	0.1
pillar	0.2
pillow	0.1
pilot	0.1
pinnacle	0.2
pioneer	0.4
pious	0.4
pith	0.3
pithy	0.3
pivot	0.2
pjs	0.4
placate	0.2
placid	0.4
placidly	0.2
plainspoken	0.1
plausibly	0.3
playful	0.4
playfully	0.2
playfulness	0.4
playground	0.4
playhouse	0.3
playmate	0.6
plaything	0.3
pleasant	0.8
pleasantly	0.8
pleasantness	0.7
pleasantry	0.7
please	0.4
pleased	0.9
pleasee	1
pleaseee	0.3
pleaseeee	0.3
pleases	0.9
pleasing	0.6
pleasingly	0.6
pleasingness	0.6
pleasurable	0.7
pleasurably	0.8
pleasure	0.8
pledges	0.4
plentiful	0.4
plenty	0.4
plucky	0.2
plug-and-play	0.2
plurk	0.2
plus	0.4
pluses	0.3
plush	0.2
plushy	0.4
plusses	0.5
plz	0.3
poetic	0.5
poeticize	0.4
poignancy	0.4
poignantly	0.7
pointedly	0.2
polished	0.4
polite	0.5
politely	0.5
politeness	0.5
pool	0.1
pope	0.4
poppin	1
popular	0.5
popularity	0.5
popularized	0.6
popularly	0.5
portable	0.4
posh	0.9
positive	0.5
positively	0.8
positiveness	0.8
positives	0.4
positivism	0.5
positivity	1
possible	0.1
posterity	0.2
potable	0.2
potency	0.3
poured	0.2
powerful	0.6
powerfully	0.4
powerhouse	0.4
practicability	0.4
practicable	0.4
practicably	0.4
practical	0.4
practicality	0.4
practise	0.1
pragmatic	0.2
pragmatically	0.4
pragmatist	0.4
praise	0.5
praised	0.8
praises	0.6
praiseworthiness	0.6
praiseworthy	1
praising	0.6
praisworthiness	0.6
prance	0.2
pray	0.3
praying	0.2
prays	0.1
preaching	0.2
precautions	0.1
precedence	0.2
precedent	0.2
precept	0.2
precious	0.6
preciously	0.7
precisely	0.4
preciseness	0.4
precision	0.4
predominant	0.3
preeminent	0.3
pre-eminent	0.4
preemptive	0.2
preferable	0.5
preferably	0.4
prefered	0.6
preferences	0.4
preferring	0.4
prefers	0.5
premiere	0.5
premises	0.2
premium	0.5
prepared	0.4
preparing	0.2
preponderance	0.3
presale	0.4
present	0.3
presentable	0.5
presentably	0.3
preservative	0.1
preserve	0.1
press	0.1
prestige	0.6
prestigious	0.7
presto	0.2
prettier	1
prettily	0.8
prettiness	0.7
pretty	0.7
prevail	0.4
prevention	0.1
priceless	0.5
pricelessly	0.5
pride	0.3
priestly	0.5
priggish	0.5
priggishly	0.5
priggishness	0.5
primarily	0.1
primer	0.3
prince	0.4
princely	0.6
princess	1
principled	0.2
pristine	0.6
priviledged	0.5
privilege	0.4
privileged	0.4
prize	0.6
pro	0.8
proactive	0.4
pro-American	0.5
problem-free	0.4
problem-solver	0.4
procure	0.2
prodigious	0.6
prodigiously	0.7
prodigy	0.6
producer	0.2
producing	0.1
productive	0.4
productively	0.4
productiveness	0.4
productivity	0.6
professional	0.6
professionalism	0.6
professional-looking	0.9
professionally	0.8
proffer	0.3
proficiency	0.6
proficient	0.4
proficiently	0.9
profitable	0.5
profitableness	0.5
profound	0.8
profoundly	0.7
profuse	0.2
profusely	0.3
programmable	0.2
progression	0.3
progressively	0.2
prominence	0.7
prominent	0.6
prominently	0.4
promise	0.3
promised	0.2
promises	0.5
promising	0.5
promisingly	0.4
promo	0.6
promoting	0.6
promotion	0.4
promotive	0.4
promptly	0.2
prop	0.2
pro-peace	0.7
properly	0.3
properous	0.8
prophet	0.2
prophylactic	0.4
propitiously	0.3
proposition	0.2
pros	0.7
prospects	0.2
prosper	0.6
prosperous	0.8
protagonist	0.3
protected	0.2
protection	0.3
protector	0.2
proud	0.8
proudly	0.6
proven	0.3
proves	0.2
providing	0.2
proving	0.3
prowess	0.2
prudence	0.2
prudent	0.3
prudential	0.3
prudently	0.3
ps2	0.2
ps3	0.2
psp	0.2
psych	0.2
psyched	1
pulpit	0.3
punctual	0.4
punctually	0.4
pundits	0.2
purchased	0.5
purely	0.3
purification	0.4
purifier	0.4
purify	0.4
purist	0.3
purity	0.4
purposeful	0.5
purposefully	0.2
purposefulness	0.5
purr	0.7
quaint	0.2
qualification	0.2
qualified	0.4
qualifier	0.2
qualify	0.4
quality	0.2
quasi-ally	0.2
quasi-luxury	0.5
queen	0.9
queen-sized	0.4
question	0.1
quickly	0.1
quickness	0.3
quieter	0.2
quietly	0.2
quinine	0.3
quintessential	0.3
quirkily	0.2
quirky	0.4
quotdont	0.2
quotit	0.2
quotlove	0.6
rach	0.6
radiant	0.9
radio	0.1
rainbow	0.6
rapport	0.4
rapprochement	0.2
rapt	0.2
rapture	0.1
raptureous	0.4
raptureously	0.4
rapturous	0.3
rapturously	0.3
rare	0.5
rarity	0.4
ratification	0.3
ratified	0.3
rational	0.4
rationality	0.4
rationalize	0.4
rationally	0.4
rave	0.5
ravishing	0.9
rawr	0.8
reachable	0.6
reader	0.1
readily	0.4
readiness	0.4
ready-to-pop	0.4
reaffirmation	0.2
realistic	0.4
realisticly	0.3
realizable	0.3
real-world	0.2
realy	0.1
reappraisal	0.3
reappraise	0.3
reassurance	0.3
reassure	0.3
reassured	0.3
reassuring	0.4
rebate	0.2
received	0.2
receiving	0.1
reciprocate	0.3
recline	0.3
recognisable	0.4
recognizably	0.5
recomend	1
recommend	0.7
recommendable	1
recommendation	0.5
recommendations	0.7
recommended	1
recommending	0.8
reconcile	0.1
re-conquest	0.2
reconstruct	0.2
reconstruction	0.3
recorder	0.2
record-setting	0.2
recreation	0.4
recreational	0.6
rectification	0.4
rectifier	0.3
rectify	0.4
rectifying	0.2
redeem	0.2
redepemption	0.3
reestablish	0.1
refillable	0.4
refine	0.4
refined	0.5
refinement	0.4
reforming	0.2
reforms	0.2
refreshed	0.4
refreshing	0.9
refreshingly	0.6
refreshment	0.3
refuge	0.2
refund	0.1
regal	0.1
regally	0.2
regarding	0.2
reinforcement	0.2
reinstate	0.2
rejoicingly	0.5
rejuvenated	0.7
rejuvenating	0.6
relax	0.6
relaxation	0.2
relaxed	0.4
relaxing	0.5
relevance	0.3
reliability	0.3
reliable	0.8
reliably	0.6
relief	0.5
relieve	0.2
reliever	0.4
relieving	0.5
remarkable	0.7
remarkably	0.9
reminiscent	0.5
reminiscing	0.6
remodel	0.1
remunerate	0.2
renown	0.8
repay	0.1
replenish	0.2
reporter	0.1
repose	0.2
represented	0.2
reproductive	0.2
reputable	0.7
reputably	0.7
repute	0.7
resilient	0.2
resolved	0.4
resounding	0.4
resourceful	0.5
resourcefulness	0.4
resources	0.1
respect	0.9
respectability	0.9
respectable	0.9
respectably	0.9
respected	0.9
respectfully	0.9
respecting	0.9
respects	0.9
respite	0.3
resplendent	0.4
responsive	0.4
responsively	0.2
restaurant-like	0.3
restful	0.4
resting	0.2
restorative	0.2
restored	0.3
restoring	0.1
restructured	0.3
restructuring	0.3
resumption	0.1
resurge	0.2
resurgence	0.2
retention	0.2
return	0.3
retweet	0.2
retweeting	0.8
reunion	0.4
reunite	0.4
revel	0.2
revels	0.3
revere	0.2
reverence	0.2
reverent	0.3
reverie	0.2
revitalize	0.3
revitalized	0.3
revive	0.4
revolutionary	0.4
revolutionize	0.4
revolutionized	0.7
reward	0.5
rewarding	0.5
rewardingly	0.8
rhythmical	0.2
ribbon	0.4
richer	0.4
riches	0.3
richly	0.8
richness	0.5
rider	0.4
righteous	0.6
righteously	0.6
righteousness	0.6
rightful	0.5
rightfully	0.3
rightly	0.4
rights	0.2
ripe	0.4
ripen	0.4
ripening	0.4
ritz-carlton	0.2
riveting	0.4
roadworthiness	0.4
robust	0.4
robustly	0.4
robustness	0.4
rockband	0.6
rocked	1
rockin	0.7
rocking	1
rockstar	0.7
rock-star	1
rock-stars	1
rod	0.1
rofl	1
roleplaying	0.2
rollercoaster	0.1
rollicking	0.8
rollin	0.5
romance	0.8
romantic	0.7
romantically	0.9
romanticism	1
romanticize	0.5
roomier	0.4
roomily	0.4
roomy	0.4
rooted	0.4
rosy	0.5
round	0.2
routine	0.1
rubric	0.1
ruggedly	0.2
ruly	0.5
rustic	0.1
rustic-yet-contemporary	0.2
ruth	0.1
sacred	0.6
sacredness	0.6
safe	0.4
safeguard	0.4
safely	0.4
safeness	0.4
safety	0.3
sagacity	0.2
sage	0.6
sagely	0.3
saint	0.7
sainthood	0.6
saintliness	0.7
saintly	0.9
salary	0.1
saleable	0.3
salutary	0.3
salvation	0.2
samurai	0.3
sanguine	0.2
sanitariness	0.4
sanitary	0.4
sanitation	0.4
sanitize	0.4
sanitized	0.4
sanity	0.1
sasha	0.3
satiny	0.2
satirist	0.1
satisfaction	0.4
satisfactorily	0.4
satisfactoriness	0.4
satisfactory	0.4
satisfied	0.8
satisfier	0.4
satisfies	0.4
satisfy	0.5
satisified	0.7
saver	0.2
savings	0.3
savor	0.9
sayang	1
scamper	0.2
scholarly	0.7
schoool	0.2
scientific	0.1
scientifically	0.2
scintilla	0.2
scored	0.6
scrumptious	0.4
scrumptiously	0.5
scruples	0.1
scrupulous	0.5
sculpture	0.2
seamlessly	0.2
seaworthiness	0.4
seaworthy	0.4
secretariat	0.1
secure	0.3
securely	0.3
security	0.3
seductive	0.3
seductively	0.5
seesmic	0.4
self-respect	0.6
self-respecting	0.4
self-satisfaction	0.6
self-sufficiency	0.2
self-sufficient	0.2
semblance	0.1
sensational	0.7
sensationally	0.9
sensations	0.3
sensibility	0.4
sensible	0.4
sensibleness	0.4
sensibly	0.2
sensitively	0.3
sensitivity	0.4
sensuality	0.5
sentiment	0.5
sentimental	0.4
sentimentally	0.4
sentinel	0.3
serene	0.7
serenity	0.5
serious	0.1
serviceable	0.4
sesh	0.3
sexual	0.5
sexy	1
sharper	0.1
sharpest	0.2
shepherd	0.2
shimmer	0.3
shimmering	0.5
shimmeringly	0.6
shine	0.4
shininess	0.5
shining	0.5
shinny	0.4
shiny	0.7
shipped	0.5
shoppin	0.8
shoutout	1
shrewd	0.2
shrewdly	0.3
shrewdness	0.2
significance	0.5
significant	0.8
significantly	0.6
signify	0.3
silent	0.1
silently	0.2
silky	0.6
silliness	0.1
silver	0.5
simpler	0.1
simplest	0.1
simplifies	0.3
simplify	0.3
sincerely	0.7
sing	0.5
singin	0.8
sir	0.1
sizable	0.3
skijump	0.2
skilful	0.7
skill	0.4
skilled	0.6
skillfully	0.8
skillfulness	0.6
sky	0.1
slammin	0.2
slate	0.2
sleeeeep	0.2
sleeeep	0.2
sleeep	0.3
sleek	0.4
sleepin	0.2
slender	0.3
slick	0.4
slickness	0.4
slim	0.2
smart	0.6
smarter	0.5
smartest	0.8
smartly	0.5
smile	0.8
smiled	1
smiles	0.8
smiling	0.8
smilingly	0.7
smitten	0.4
smokin	1
smooth	0.5
smoothed	0.4
smoothen	0.4
smoother	0.4
smoothest	0.9
smoothie	0.2
smoothly	0.4
smoothness	0.8
smooth-running	0.6
smores	0.6
snazzy	0.6
snug	0.5
snuggle	0.7
sober	0.2
sobriety	0.2
sociable	0.4
social	0.2
softer	0.1
softly	0.1
softness	0.3
soft-spoken	0.3
solace	0.2
solemnly	0.4
solicitously	0.7
solid	0.2
solidarity	0.5
solidity	0.3
solidly	0.4
solitude	0.4
song	0.4
sonnet	0.4
sonorous	0.2
sony	0.2
sooon	0.4
soooon	0.4
sophisticate	0.5
sophisticated	0.6
sophistication	0.5
sorter	0.1
soulful	0.4
soulfully	0.5
soundly	0.4
spa	0.4
space-age	0.2
spacious	0.6
spaniel	0.1
spare	0.2
sparing	0.2
sparingly	0.1
sparkle	0.4
sparkling	0.4
special	0.5
specie	0.2
spectacularly	0.9
speech	0.2
speed-on-demand	0.5
speedy	0.4
spellbind	0.2
spellbinding	0.3
spellbindingly	0.4
spellbound	0.2
spelling	0.1
spice	0.1
spiffing	0.9
spine	0.2
spirit	0.2
spiritual	0.4
spiritualism	0.4
spiritualistic	0.4
spirituality	0.4
splendid	0.9
splendidly	1
splendor	0.9
spontaneously	0.2
sporty	0.4
spotify	0.3
spotless	0.5
spotlessness	0.4
spouse	0.1
spunky	0.4
spur	0.2
stability	0.3
stabilization	0.3
stabilize	0.3
stabilized	0.3
stabilizer	0.3
stabilizing	0.3
stable	0.3
stainless	0.2
stainless-steel	0.2
stallion	0.3
stamina	0.3
standardization	0.2
standardize	0.4
standardized	0.2
standarize	0.4
stand-out	0.7
star	0.4
stardom	0.6
starlight	0.5
starry	0.4
stars	0.5
startrek	0.2
statement	0.1
statue	0.2
statuesque	0.4
status	0.2
staunch	1
staunchly	0.8
staunchness	1
steadfastly	0.2
steadiest	0.4
stellar	1
stellarly	1
sterling	0.3
steward	0.1
stillness	0.1
stimulates	0.4
stimulating	0.7
stimulation	0.4
stimulative	0.3
stirring	0.1
stirringly	0.2
stoked	1
stood	0.1
stormproof	0.3
stoutness	0.3
straighten	0.2
straightforward	0.3
straight-forward	0.4
straight-forwardly	0.6
straight-line	0.3
strategic	0.4
strategically	0.4
strategist	0.2
streamline	0.2
street-smart	0.8
streetwise	0.2
street-wise	0.5
strengthen	0.5
strengthening	0.2
stride	0.3
strides	0.2
striking	0.4
stronger	0.4
strongest	0.4
strongly	0.3
studious	0.3
studiously	0.4
stunning	0.8
stunningly	0.4
stupendous	0.2
stupendously	0.9
sturdier	0.4
sturdiness	0.4
sturdy	0.4
stylish	0.5
stylishly	0.4
stylist	0.3
stylistic	0.5
stylized	0.2
suave	0.1
suavely	0.4
subsidize	0.2
subsidizes	0.1
subsistence	0.3
substantially	0.2
substantiate	0.2
substantive	0.3
succeed	0.6
succeeding	0.9
succeeds	0.5
succes	0.7
success	0.6
successes	0.1
successful	0.7
successfully	0.7
succession	0.5
successively	0.1
succinct	0.8
succinctly	0.1
succulence	0.4
sufficed	0.5
suffices	0.1
sufficiency	0.3
sufficient	0.3
sufficiently	0.3
sugarcoat	0.4
suggest	0.1
suggestions	0.3
suitability	0.3
suitable	0.4
suitably	0.5
summit	0.1
sumptuous-looking	1
sumptuousness	0.2
sunbathing	0.7
sunlight	0.4
sunny	0.4
sunset	0.4
sunshine	0.4
superb	1
superbly	0.7
supercharge	0.3
superdrive	0.4
superhuman	0.7
superior	0.5
superiority	0.5
superlative	0.2
super-luxury	1
superman	0.5
superstar	1
supple	0.4
supplication	0.2
supplies	0.1
supporting	0.2
supportive	0.2
supports	0.3
supremacy	0.3
supreme	0.5
supremely	0.5
supurb	1
supurbly	1
sure	0.3
surely	0.4
sureness	0.4
surmise	0.1
surmount	0.6
surpass	0.6
surpassing	0.5
surprise	0.3
surprised	0.2
surreal	1
surveying	0.1
survive	0.1
survived	0.2
survivor	0.2
suspenseful	0.7
suspensful	0.5
sustain	0.3
sustainability	0.3
sustainable	0.4
swag	0.8
swagger	0.8
swaggerer	0.8
swaggering	0.8
swankier	0.5
swankiest	0.6
swanky	0.6
sweeet	1
sweet	0.6
sweeten	0.4
sweetest	1
sweetheart	0.7
sweetie	0.7
sweetish	0.4
sweetly	0.6
sweetness	0.7
sweets	0.7
sweety	1
swift	0.3
swiftness	0.6
swim	0.2
swivel	0.3
swole	0.9
sworn	0.2
symbolize	0.2
sympathetically	0.4
sympathizer	0.4
symphonic	0.6
symphonize	0.4
symphony	0.4
synchronize	0.1
synchronized	0.4
synergistic	0.6
synod	0.2
synonymous	0.1
tact	0.2
tactful	0.2
tactic	0.2
tactical	0.2
tactics	0.1
tale	0.2
talent	0.5
talented	0.8
talents	0.4
talisman	0.3
tamable	0.2
tame	0.2
tamed	0.3
tamely	0.3
tameness	0.3
tamer	0.2
tantalize	0.3
tantalizingly	0.4
taste	0.2
tasted	0.2
tasteful	0.6
tasty	0.6
tc	0.8
teacher	0.2
teamwork	0.5
technology	0.1
teehee	0.8
teens	0.2
teflon-coated	0.2
tempered	0.1
tempted	0.4
temptingly	0.4
tenaciously	0.2
tenacity	0.7
tenancy	0.1
tenant	0.1
tenderly	0.4
terrific	1
tgif	1
thank	0.7
thankful	0.7
thankies	1
thanking	1
thanks	1
thankyou	0.9
thanx	1
therapeutics	0.4
thicc	1
thinner	0.2
thnks	0.3
thnx	0.9
thoroughbred	0.2
thoroughness	0.4
thoughtful	0.6
thoughtfulness	0.6
thrifty	0.1
thrill	0.4
thrilled	0.9
thrillful	0.7
thrilling	0.9
thrillingly	0.9
thrive	0.7
thriving	0.7
throne	0.5
thumb-up	1
thx	0.7
tickle	0.3
tidiness	0.5
tidy	0.9
tidying	0.7
tiling	0.1
timberlake	0.2
timefollow	0.3
tingle	0.2
tinsel	0.2
titillating	0.4
titillatingly	0.9
tix	0.2
tnx	1
todayyy	0.2
togetherness	0.4
toned	0.4
tonite	0.2
top-dollar	1
top-drawer	1
top-end	1
topnotch	1
top-notch	1
top-quality	1
top-rack	0.9
top-rate	1
tops	0.2
touching	0.3
touchingly	0.7
touch-screen	0.2
tough	0.4
tougher	0.2
toughest	0.5
touring	0.6
tower	0.1
towering	0.3
toy	0.2
tq	1
tqsm	1
tqvm	1
trackle	0.4
traction	0.2
tranquil	0.4
tranquility	0.4
transcend	0.2
transcendental	0.3
traveling	0.2
treasure	0.5
treat	0.5
treaty	0.4
tremendous	0.9
tremendously	0.5
trend	0.4
trending	0.9
trendsetting	0.6
trendy	0.7
tribute	0.5
trig	0.2
triumph	0.7
triumphal	0.6
trophy	0.6
tropical	0.4
trueness	0.4
trusted	0.4
trustful	0.5
trusting	0.5
trustingly	0.3
trustworthiness	0.5
trustworthy	0.5
trusty	0.6
truth	0.4
truthful	0.5
truthfully	0.5
truthfulness	0.5
ttyl	0.2
tubular	0.1
tutelage	0.3
tutor	0.1
tweeple	0.3
tweeples	0.2
tweeted	0.2
tweethearts	1
tweeties	0.2
tweetin	0.3
tweetup	0.2
tweople	0.3
twerk	1
twiiter	0.2
twilight	0.5
twin	0.1
twitpic	0.3
twitpics	0.4
twitted	0.3
twitterberry	0.2
twitterfox	0.2
twitterific	1
twitterrific	1
twitterverse	0.2
twitterville	0.3
twitterworld	0.2
twitting	0.4
twitts	0.3
ty	0.9
uber	0.4
ubertwitter	0.5
ufc	0.2
ultimately	0.3
ultra-compact	0.6
umpire	0.2
unabashed	0.1
unabashedly	0.3
unaffected	0.2
unafraid	0.1
unaggressive	0.1
unashamed	0.1
unassailable	0.3
unassuming	0.1
unbeaten	0.2
unbeholden	0.2
unbiased	0.6
unbigoted	0.3
unblemished	0.3
unbound	0.3
unbreakable	0.8
unbroken	0.2
uncannily	0.5
uncommon	0.2
uncomplicated	0.2
unconstrained	0.4
unconventionally	0.2
uncorrupted	0.2
uncoventional	0.1
undamaged	0.2
undaunted	0.5
undefeated	0.2
underline	0.1
understandable	0.4
understandably	0.4
understanding	0.1
undisputable	0.2
undisputably	0.5
undisputed	0.5
undistorted	0.2
undivided	0.3
undoubted	0.4
undoubtedly	0.3
undying	0.3
unequivocal	0.7
unequivocally	0.3
unfazed	0.5
unfettered	0.4
unforgettable	0.7
unharmed	0.1
unification	0.2
uniform	0.2
uniformity	0.4
uniformly	0.5
unimpaired	0.2
uninfected	0.1
uninjured	0.1
unique	0.5
unique-looking	0.6
uniquely	1
uniqueness	0.6
unison	0.2
unitary	0.1
united	0.5
universally	0.3
unlimited	0.4
unmatched	0.8
unparalleled	0.7
unpredictably	0.1
unpretentious	0.4
unpretentiousness	0.2
unquestionably	0.2
unquestioned	0.3
unreal	0.5
unrestricted	0.2
unrivaled	0.6
unscathed	0.2
unselfconsciously	0.2
unselfish	0.3
unselfishness	0.3
unsurpassable	0.6
unsurpassed	0.5
untie	0.1
unwavering	0.4
up-and-coming	0.5
upbeat	0.6
upcoming	0.3
upgrade	0.4
upgraded	0.7
uplifting	0.9
up-lifting	0.8
upliftingly	0.7
upliftment	0.6
uppermost	0.8
uprightness	0.5
upscale	0.5
upstanding	0.5
upward	0.4
urban	0.1
urbanity	0.5
usable	0.2
useable	0.4
useful	0.6
usefully	0.6
user-accessible	0.1
utilization	0.3
utilize	0.3
uttermost	0.4
vacation	0.4
vacay	1
vaccine	0.5
vagile	0.4
valediction	0.4
valedictorian	0.4
valedictory	0.4
valentine	0.7
valiantly	0.4
valid	0.4
validated	0.6
validation	0.6
validity	0.4
validly	0.6
valor	0.2
valuable	0.7
valued	0.4
value-packed	1
vanquish	0.2
vast	0.3
velvety	0.1
venerate	0.2
veneration	0.2
ventilated	0.2
ver	0.2
veracity	0.3
verdant	0.4
verifiable	0.4
verification	0.4
verified	0.5
verify	0.4
verily	0.2
veritable	0.3
vernal	0.1
versatile	0.4
versatility	0.4
verve	0.3
viability	0.5
viable	0.6
vibrant	0.9
vibrantly	0.9
victorious	1
victoriously	1
victory	0.8
vigil	0.1
vigilance	0.3
vigilant	0.5
vigor	0.4
vigorous	0.5
vigorously	0.5
vindicated	0.3
viola	0.9
virginal	0.2
virtue	0.6
virtuosity	0.6
virtuoso	0.6
virtuous	0.7
virtuously	0.6
vision	0.3
visit	0.2
visualization	0.1
vital	0.4
vitality	0.4
vitalization	0.4
vitalize	0.4
vitamin	0.3
vivacious	0.7
vivid	0.6
vivification	0.6
vivify	0.6
vocabulary	0.1
volunteer	0.1
vote	0.2
vouchsafe	0.2
w00t	1
wacky	0.1
wah	0.2
waitin	0.2
wakeup	0.2
wanderlust	0.5
warcraft	0.2
warmer	0.2
warmhearted	1
warmly	0.6
warranty	0.2
warrior	0.3
wassup	0.4
watchable	0.7
watchdog	0.2
watchful	0.5
watchman	0.1
watchn	0.8
waterproof	0.6
wealth	0.5
wealthy	0.8
weatherproof	0.4
wee	0.6
weee	1
weight	0.1
wel	0.3
welcome	0.4
welcomed	1
welcoming	0.5
welfare	0.2
well-acted	0.5
well-assembled	0.7
well-backlit	0.4
wellbeing	0.4
well-being	0.5
wellborn	0.4
well-built	0.6
well-bundled	0.5
well-cropped	0.2
well-dampened	0.7
well-developed	0.8
well-done	0.6
well-dressed	1
well-educated	0.4
well-equipped	0.7
well-established	0.8
well-fitting	0.5
well-informed	0.8
well-known	0.5
welll	0.7
well-managed	0.4
well-mannered	0.9
well-muted	0.2
well-placed	0.8
well-positioned	0.5
well-produced	0.6
well-received	0.6
well-regarded	0.8
well-researched	0.4
well-rounded	0.6
well-run	0.7
well-trained	0.6
well-tuned	0.5
well-wishers	0.7
well-written	0.7
wendys	0.2
whacker	0.5
whee	1
whenever	0.2
whew	1
whimsical	0.2
whiteness	0.3
whoa	0.4
wholeheartedly	1
wholeheartedness	0.6
wholesome	0.8
wholesomely	0.8
wholesomeness	0.8
whoo	1
whoooa	1
wicket	0.2
widespread	0.1
wifey	0.6
wii	0.2
willing	0.4
willingly	0.3
willingness	0.3
win	0.5
win7	0.2
windfall	0.1
winner	0.6
winners	0.9
winning	0.6
winnings	0.6
wins	0.6
winsome	0.3
winsomeness	0.3
wireless	0.1
wis	0.2
wisdom	0.6
wise	0.6
wisely	0.6
wished	0.3
wit	0.4
withstand	0.4
wits	0.4
wittily	0.4
wittingly	0.4
witty	0.4
wizard	0.4
wk	0.3
wld	0.2
woah	0.8
wohoo	1
woke	0.4
woken	0.7
womb	0.1
womp	0.5
won	0.7
wondered	0.3
wonderful	1
wonderfully	1
wonderous	0.7
wonderously	0.7
wonders	0.4
wondrous	0.7
wondrously	1
wooh	0.4
woohoo	0.8
woohooo	1
wooo	1
wooohooo	1
woooo	1
wooooo	1
wooow	1
woop	0.2
woot	1
wordpress	0.2
workable	0.2
worked	0.1
workmanlike	0.4
workmanship	0.4
world-famous	0.7
worthily	0.5
worthiness	0.5
worthwhile	0.5
worth-while	1
worthwhileness	0.5
worthy	0.5
wot	0.2
wow	0.8
wowed	0.5
wowing	0.5
xbox	0.2
xd	1
xdd	1
xo	0.8
xox	1
xoxo	1
xoxox	1
xoxoxo	1
xxxxxx	0.4
xxxxxxx	1
yaa	0.5
yaaa	0.3
yaaay	1
yaay	1
yah	0.5
yahoo	1
yay	1
yayy	1
yayyy	1
yayyyy	1
yayyyyy	1
yeaa	0.6
yeaaah	0.4
yeaah	0.6
yeahhh	1
yeahi	0.8
yeap	0.3
yeay	1
yep	0.7
yesh	0.4
yest	0.4
yipee	1
yippee	1
yippie	1
yoga	0.3
yogi	0.3
yogistic	0.3
yoke	0.4
yoked	1
yolo	1
younger	0.4
youngest	0.5
youtube	0.2
youuuu	0.3
youuuuu	0.5
yt	0.2
yum	1
yumm	1
yung	0.4
yup	0.2
yw	0.8
zany	0.4
zeal	0.5
zealous	0.8
zen	0.8
zenith	0.3
zest	0.8
zestful	0.8
zippy	0.4
zomg	0.5
